"Title","release year","ep[isodes","type","ipc-rating-star--rating","ipc-rating-star--voteCount","ipc-link","production","casting","casting 2","casting 2"
"1. Our Planet","2019–2023","12 eps","TV Series","9.2","(63K)","Alastair Fothergill","Stars","David Attenborough","",""
"2. The Last Dance","2020","10 eps","TV Mini Series","9.0","(179K)","Michael Jordan","","Phil Jackson","",""
"3. When They See Us","2019","4 eps","TV Mini Series","8.8","(158K)","Ava DuVernay","Stars","Asante Blackk","Ethan Herisse",""
"4. Black Mirror","2011–","34 eps","TV Series","8.7","(733K)","Charlie Brooker","Stars","Anjana Vasan","Jesse Plemons",""
"5. Narcos","2015–2017","30 eps","TV Series","8.7","(525K)","Carlo Bernard","Stars","Chris Brancato","Pedro Pascal","Wagner Moura"
"6. Dark","2017–2020","26 eps","TV Series","8.7","(539K)","Baran bo Odar","Stars","Jantje Friese","Karoline Eichhorn","Lisa Vicari"
"7. Stranger Things","2016–2025","42 eps","TV Series","8.6","(1.7M)","Matt Duffer","Stars","Ross Duffer","Finn Wolfhard","Winona Ryder"
"8. House of Cards","2013–2018","73 eps","TV Series","8.6","(558K)","Beau Willimon","Stars","Kevin Spacey","Robin Wright",""
"9. Arrested Development","2003–2019","84 eps","TV Series","8.6","(342K)","Mitchell Hurwitz","Stars","Jason Bateman","Portia de Rossi",""
"10. The Crown","2016–2023","60 eps","TV Series","8.6","(280K)","Peter Morgan","Stars","Claire Foy","Imelda Staunton",""
"11. BoJack Horseman","2014–2020","76 eps","TV Series","8.8","(230K)","Raphael Bob-Waksberg","Stars","Will Arnett","Alison Brie",""
"12. Anne with an E","2017–2019","27 eps","TV Series","8.6","(80K)","Moira Walley-Beckett","Stars","Amybeth McNulty","R.H. Thomson",""
"13. Formula 1: Drive to Survive","2019–","78 eps","TV Series","8.5","(60K)","McLaren Formula 1 Team","","Mercedes-AMG Petronas F1 Team","",""
"14. Daredevil","2015–2018","39 eps","TV Series","8.6","(526K)","Drew Goddard","Stars","Charlie Cox","Deborah Ann Woll",""
"15. The Queen's Gambit","2020","7 eps","TV Mini Series","8.5","(658K)","Scott Frank","Stars","Allan Scott","Chloe Pirrie","Bill Camp"
"16. Mindhunter","2017–2019","19 eps","TV Series","8.6","(393K)","Joe Penhall","Stars","Jonathan Groff","Anna Torv",""
"17. The Haunting of Hill House","2018","10 eps","TV Mini Series","8.5","(326K)","Mike Flanagan","Stars","Michiel Huisman","Henry Thomas",""
"18. Making a Murderer","2015–2018","20 eps","TV Series","8.5","(108K)","Steven Avery","","Dolores Avery","",""
"19. Sacred Games","2018–2019","16 eps","TV Series","8.5","(98K)","Varun Grover","Stars","Nawazuddin Siddiqui","Neeraj Kabi",""
